Job Name,label,CompanyName,Job Type,Experience Required,JD,City,Date Posted,IT,Department,Status
 Full Slack Web Developer Job ,,"eGeeks, Pakistan", Job,< 1 Year,"We are hiring for Full Slack Web Developers ( Frontend and Backend)Duties:
- Regular communication with team members and project manager.
- Make changes to existing websites.
- Building out pre-designed websites.
- Debugging and securing code.
- Upda",Islamabad,16-Dec-22,True,Web & E-commerce Job,0
 Team Coordinator Job ,,"eGeeks, Pakistan", Job,< 1 Year,"We are looking for a result-driven Team Coordinator to be responsible for monitoring and supervising a team of writers to achieve the organization&rsquo;s objectives. You will be responsible for providing guidance, instruction and leadership skills t",Islamabad,16-Dec-22,False,Admin Job,0
 Business Development Officers For Sales Department Job ,,"eGeeks, Pakistan", Job,Job for Fresh Graduates,We are a software solution services company and are looking for Business Development Officers for our Sales Department. You will be required to manage online portals and will also be responsible for managing the entire bid process.Responsibilities in,Islamabad,16-Dec-22,False,Sales Job,1
 Admin Manager Job ,,"Khurshid Textiles, Pakistan", Job,5 Years Job Exp.,"Maintains administrative staff by recruiting, selecting, orienting, and training employees.Supervises clerical and administrative personnel by communicating job expectations, appraising job results, and disciplining employees.Sets policies and proced",Lahore,15-Dec-22,False,HR & Recruiting Job,0
 Graphic Designer Job ,,"Esox Studio, Pakistan", Job,< 1 Year,Looking for a creative graphic designer who has hands-on the tools1. Adobe illustrator2. Adobe photoshop3. Adobe XD and Figma (Optional)4. Adobe premiere pro (Optional),Islamabad,15-Dec-22,True,Computer Software Job,0
"Online  Internship In Word Press, SEO And Content Writer Job ",,"AS Marketing, Pakistan", Job,< 1 Year,Job Descriptions are:1. Web development2. SEO3. Content Writing,Lahore,15-Dec-22,True,Web & E-commerce Job,0
 Internee (Finance) Job ,Gallery Job,"Muhammad Associates (Private) Limited, Pakistan", Job,< 1 Year,"The company requires the services of Fresh Graduates and Under Graduates, ACCA/CA/ICMA part qualified candidates on initially internship leading to permanant job.The individual must be confident, hardworking and punctual.Must have ability to manage t",Islamabad,15-Dec-22,False,Accounting Job,1
 Senior PHP Developer Job ,,"Devbunch Pvt Ltd, Pakistan", Job,2 Years Job Exp.,"1) Coordinating and participating in the programming, implementation, testing, and support of web-based projects using the LAMP solution stack of software2) Programming, developing and producing data-driven web applications, websites, and mobile apps",Lahore,15-Dec-22,True,Computer Software Job,1
 Senior PHP (Laravel)  Developer Job ,Gallery Job,"Mwan Mobile, Pakistan", Job,5 Years Job Exp.,"MWAN Mobile currently has an exciting opportunity for a Senior Software Developer who has hands on experience in development of IT systems against agreed scope and requirements, designing, developing and installing software solutions and supporting t",Islamabad,15-Dec-22,True,IT Job,0
 Tele Sales Executive Job ,,"Al Wafiq Global Pvt Ltd, Pakistan", Job,< 1 Year,"A Reputable Dubai based company is hiring &quot;Tele Sales Executives&quot; in Consumer Department.Requirements:
Person should be confident and have skills to connect with the customers internationally.
Applicant must have strong communication skills",Karachi,15-Dec-22,False,Customer Service Job,1
 Magento Developer Job ,,"Aubzarve, Pakistan", Job,2 Years Job Exp.,Magento developers neededDynamologic Solutions is seeking a Magento Developer who will be responsible for the development and implementation of scalable yet high performing Magento eCommerce stores and marketplaces.Job Responsibilities:Your job respo,Bahawalnagar,15-Dec-22,True,Web & E-commerce Job,1
Online  SEO Specialist / Content Writer Job ,,"Aubzarve, Pakistan", Job,3 Years Job Exp.,Responsibilities for SEO SpecialistDevelop optimization strategies that increase the company&#39;s search engine results rankingsResearch SEO keywords to use throughout the company&#39;s website and marketing materialsSet measurable goals that demons,Hyderabad,15-Dec-22,True,Web & E-commerce Job,0
 Receptionist - Front Desk Officer Job Job ,Gallery Job,"Zam Software Solutions, Pakistan", Job,1 Year Job Exp.,"A Receptionist who can also assist in administrative/HR tasks, with a good communication skills to organise and handle tasks. Female candidates are encouraged to apply.",Islamabad,15-Dec-22,False,Support Services Job,0
 PHP Developers (Frameworks & Core) Job ,,"DeDevelopers Ltd., Pakistan", Job,2 Years Job Exp.,"We are looking for a talented, PHP Software Developer. In this role, you will be developing, supporting, maintaining, and debugging client-related web development projects. The ideal candidate is a highly motivated, resourceful, self-starter capable",Lahore,15-Dec-22,True,IT Job,0
 Hybrid Mobile Application / JS Developer Job ,,"DeDevelopers Ltd., Pakistan", Job,2 Years Job Exp.,"DeDevelopers is looking for an experienced Hybrid Application Developer (React Native, Expo, Flutter, Ionic) who can work independently (writing PHP API or Firebase) or can work with a team as well.As a Hybrid Application Developer, you will be invol",Lahore,15-Dec-22,True,IT Job,1
 REACT Native Developer Job ,,"M Techhub Pvt. Ltd., Pakistan", Job,< 1 Year,"We need the React Native developer to have in-depth knowledge of the relevant technology core concepts and frameworks, have strong debugging and problem-solving skills, lead a team of developers, manage a product lifecycle and be able to work under t",Islamabad,15-Dec-22,True,IT Job,1
 MERN Developer Job ,,"M Techhub Pvt. Ltd., Pakistan", Job,< 1 Year,"M TECHUB PVT LTD. is looking for a Full Stack Web Developer (MERN Stack) to join our in-house team. The ideal candidate is a self-motivated, multi-tasker, and demonstrated team-player. This is an internship leading towards a job post.Job Responsibili",Islamabad,15-Dec-22,True,IT Job,0
 Telesale Executive Job ,,"Aircell.com, Pakistan", Job,Job for Fresh Graduates,Looking for Female Telesales Executive for Consumer Services.Job role:Sell DU Consumer Postpaid/ Prepaid Plans for Individuals.Candidates should be competent in English.Candidates should be Presentable.English plus Arabic speaking candidates also wel,Lahore,15-Dec-22,False,Marketing Job,1
 SEO Link Builder Job ,,"MindWhiz, Pakistan", Job,< 1 Year,We&#39;re looking for a link builder with more than 6 months of experience.You must know about the below-mentioned topics:BookmarkingArticle submissionWeb 2.0Image sharingVideo SharingClassified ad submissionPPT/PDF submissionBusiness Listing.,Lahore,15-Dec-22,True,IT Job,1
 Full Stack Web Developer  Vuejs / PHP Laravel Job ,Gallery Job,"Xtendum Services Pvt. Ltd., Pakistan", Job,2 Years Job Exp.,Are you a professional Full-Stack Developer for web applications?Are you able and ambitious to write clean code with as few lines as possible?Are you familiar with and constantly learning about new frameworks and best practices?Can you prove your exp,Islamabad,15-Dec-22,True,Computer Software Job,1
 Data Entry Operator Job ,Gallery Job,"All World Books, Pakistan", Job,< 1 Year,Our company looking for a data entry person who has experience entering data online. Google search and good command of internet technologies. Previously work online to enter data on a live website. Knowledge of MS Word and Excel is a plus. Good comma,Lahore,15-Dec-22,False,Web & E-commerce Job,1
 Telesales Representative Job ,Hot Job,"Wise Marketing, Pakistan", Job,Job for Fresh Graduates,We are looking for an enthusiastic Telesales Representative to contribute in generating sales for our company. You will be responsible for closing sales deals over the phone and maintaining good customer relationships.Requirements Candidate must have,Lahore,14-Dec-22,False,Customer Service Job,0
 AM International Regulatory Job ,,"Pacific Pharmaceuticals Ltd, Pakistan", Job,4 Years Job Exp.,"Knowledge of ICH and WHO guidelinesHand on experience of dossier preparation in CTD, ECD, MHRA formatsLiaison with DRAP personals &amp; queriesExposure of product registration in Europ, Latin America etcANalytical approach of stability studies of dif",Lahore,14-Dec-22,False,Production Job,1
 Accounts Executive Job ,,"Eminence Systems Pvt Limited, Pakistan", Job,1 Year Job Exp.,"Job DescriptionWe need a well-mannered and detail oriented Accounts Executive. Who must be MBA/ BBA or B-Com Degree with the interest of learning Accounting and Supply-chain, 1-2 years&rsquo; experience is a bonus. Fresh Candidates can also be consid",Islamabad,14-Dec-22,False,Supply Chain Job,1
 Javascript Developer Job ,,"Grayphite, Pakistan", Job,1 Year Job Exp.,"Grayphite is looking for an experienced Javascript Developer.Must Haves:Candidate should have strong basics concepts i.e. OOP, Data Structures, DatabasesCandidate should be fluent with Javascipt basics.Web development experience atleast one year.One",Faisalabad,14-Dec-22,True,Web & E-commerce Job,0
 Regional Sales Executive Job ,,"ZKTeco, Pakistan", Job,3 Years Job Exp.,"Job Responsibilities:
1. Responsible for CCTV products sales in Karachi and other southern cities;
2. Exploit the market, develop customers, and increase the scope of product sales;
3. Maintain and enhance existing customer relationships;
4. Complete",Karachi,14-Dec-22,False,Sales Job,1
 PCR Application & Sales Executive Job ,Gallery Job,"Med Lab Services, Pakistan", Job,3 Years Job Exp.,Performing RealTime PCR experiment in companys QC laborataryPerforming RealTime PCR experiment in customers laborataryAnalyzing RealTime PCR experiment resultsTroubleshooting RealTime PCR and providing technical assistance to customersPCR product dem,Islamabad,14-Dec-22,False,Pharma & Biotechnology Job,0
 Sales Specialist Job ,,"Leaders BPO, Pakistan", Job,< 1 Year,"Timing: Night ShiftFixed-Salary: Rs/-15,000-Rs/-25,000Training: PaidMedical InsuranceProvident FundPaid Casual/Medical LeavesGender: Male/FemaleMinimum Intermediate in EducationTotal Positions: 40",Islamabad,14-Dec-22,False,Sales Job,0
Online  Graphic Designer And Front-End Web Developer Job ,Gallery Job,"Dynamosys, Pakistan", Job,1 Year Job Exp.,"Analyze the design and development of graphics and illustrations for use in technical materials, manuals, and publications. Operate standard computer hardware and software to prepare, revise, print, and store text, illustrations, graphs, and charts.",Islamabad,14-Dec-22,True,Computer Software Job,1
 Sr. PHP Developer Job ,,"Ax3 Systems, Pakistan", Job,4 Years Job Exp.,"Job DescriptionStrong knowledge of PHP web frameworks (such as Laravel, Codeigniter)Understanding the fully synchronous behavior of PHPUnderstanding of MVC design patternsGood understanding of front-end technologies, such as JavaScript, jQuery, HTML5",Karachi,13-Dec-22,True,Computer Software Job,1
 Vendor Manager Job ,Gallery Job,"Tag Choice, Pakistan", Job,1 Year Job Exp.,Tag Choice is Pakistan leading online marketplace dealing with all type of daily essentials. Tag Choice is looking for a Vendor Managers to manage sellers. The e-Commerce Vendor Manager onboard new sellers in the ecommerce website for products. You w,Lahore,13-Dec-22,True,Web & E-commerce Job,1
 React Native / React Developer Job ,,"DevInteract, Pakistan", Job,< 1 Year,We are looking for React Native/React Developer.Requirements:- Bachelor&#39;s or Master&#39;s degree in CS/IT/Software Engineering.- At least 1 year&#39;s post-graduation experience on developing mobile and web applications using React Native / React,Lahore,13-Dec-22,True,Computer Software Job,0
 Technical Co-Founder At Startup Job ,,"SharpRecruits, Pakistan", Job,2 Years Job Exp.,"Technical Co-Founder at StartupWe think that blockchain technology can change the world. We are a team of young and energetic individuals with passion and ethusiasm for blockchain technology, DLT and cryptocurrency.We are looking for a Technical Co-f",Lahore,13-Dec-22,True,Computer Software Job,1
 Social / Digital Media Manager Job ,Premium Job,"Khalil Ahmed Studios, Pakistan", Job,2 Years Job Exp.,"Social Media ManagerKhalil Ahmed is an e-commerce startup . We design, manufacture, and sell high quality leather products via our online e-commerce shop. We believe that online shopping is the future and we&rsquo;re making a big bet on it",Lahore,13-Dec-22,True,IT Job,1
 Customer Sale Representative Job ,,"Oxeph Communications, Pakistan", Job,< 1 Year,We are Looking for Fresh and Experience CSR agents with Handsome salary Package all you can Apply Male and Female Required. for Evening and Night shift...Injury Claim for UK and Auto Insurance for USA and New Project Transcription,Islamabad,13-Dec-22,False,Sales Job,0
 Web Developer Job ,,"Web Logo Graphics, Pakistan", Job,3 Years Job Exp.,Looking for experience Web Developer with enriches &amp; excellent developing skills over PHP &amp; CMS like Wordpress etc. Salary depends on experience/Skill level.Job Requirements:Excellent PHP Development SkillsEcommerce &amp; CMS Web developmentW,Karachi,13-Dec-22,True,IT Job,1
 Graphic Designer Job ,,"Boosters Digital, Pakistan", Job,2 Years Job Exp.,"Boosters Digital is looking for Experienced Graphic Designer For Office Based in DHA Lahore.Expertise in- Social Media Designs.- Videos/ Gif Posts- Strong Aesthetics- Strong English and Urdu Communication SkillsSalary range: 30,000-60,000/-",Lahore,13-Dec-22,False,Marketing Job,1
 Video Editor Job ,,"Murad Shoes, Pakistan", Job,1 Year Job Exp.,Video Editor has been required by our organization to cut off video clips and can make background themes,Mardan,12-Dec-22,False,Education Job,1
 Business Development Executive Job ,,"2 Do, Pakistan", Job,< 1 Year,"A candidate with positive energy, good speaking skills, open to learning and know-how of computer, is required for this job position.- Executive assistance to marketing of different projects (in the services sector);- Email marketing, Linkedin, Faceb",Lahore,12-Dec-22,False,Marketing Job,1
 Psychologist Or Psychiatrist - Entry Level Job ,,"2 Do, Pakistan", Job,< 1 Year,"Psychologist or Psychiatrist:Required Skills:- Good English Speaking;- Psycho Therapy know-how- Anger Management know-how- Good temperament, transparency- Willingness to learn new and work ethicallyJob Types: Full-time, Contract",Lahore,12-Dec-22,False,Healthcare Job,0
Online  Accountant With Good English Skills Job ,,"Advanced Digital Solution , Pakistan", Job,< 1 Year,"&bull; Person should be located in South Lahore i.e. near Bahria Town, Valencia, Lake city, Johar town etc&bull; Virtual Accountant needed for a California based software house&bull; Must be good with English communication&bull; 1-2 years accounting",Lahore,12-Dec-22,False,Accounting Job,0
 Social Media Marketing Expert Job ,,"Fair & White, Pakistan", Job,1 Year Job Exp.,We are HiringDigital marketing OfficerThe ideal candidate should have experience in the cosmetics industries,Islamabad,12-Dec-22,False,Marketing Job,0
 Junior Financial Advisor And Senior Financial Advisors Job ,,"Adamjee Business Center, Pakistan", Job,Job for Fresh Graduates,We need staff the post of junior financial advisor and senior financial advisors more information contact,Bahawalnagar,12-Dec-22,False,Marketing Job,0
 Business Development Manager Job ,,"Adamjee Business Center, Pakistan", Job,Job for Fresh Graduates,"#Eastern_Federal_UnionRequire Sales staff for New branch.#EXPERIENCEGovernment Retired, Banking, Sales, Marketing, NGO, Life assurance and Banca assurances experience Preferred. #AVAILABLE_SALES_POSITIONS1: Sale Consultant2: Senior Sale Consultant3:",Lahore,12-Dec-22,False,Marketing Job,0
 Software Quality Assurance Engineer / SQA Engineer  Job ,,"Enlyst Smart Recruiting, Pakistan", Job,< 1 Year,"Translate application storyboards and use cases into test cases.Review requirements, specifications and technical design documents to provide timely and meaningful feedback.Create detailed, comprehensive and well-structured test plans and test casesE",Lahore,11-Dec-22,True,Computer Software Job,0
 International Business Development Executive Job ,Premium Job,"Platinum Communications (Pvt) Limited, Pakistan", Job,Job for Fresh Graduates,"Platinum Communications (Private) LimitedAt Platinum Communication employees are part of our winning strategy which is why we strive to attract and retain the very best the industry has to offer. Our employees come in many shapes and forms, but they",Lahore,11-Dec-22,False,Consulting Job,1
 Project Manager Job ,,"Enlyst Smart Recruiting, Pakistan", Job,4 Years Job Exp.,"&bull; Follow the scope of the project that goes from the proposal stage to the technical work up, and finally to the delivery of the project.
&bull; Participate in the initial conception stage along with a client in order to better meet the needs of",Lahore,11-Dec-22,True,Web & E-commerce Job,1
 Wordpress Developer Job ,,"Solutionpri, Pakistan", Job,2 Years Job Exp.,"Looking for a Proactive CandidateRequirements:
&middot; Must have demonstrated experience of 3-4 years as a WordPress Developer.
&middot; Knowledge of front-end languages (Angular 8, HTML, CSS, JS, and bootstrap) is a must.
&middot; Strong understand",Lahore,11-Dec-22,True,Computer Software Job,0
 Graphic Designer Job ,Gallery Job,"Solutionpri, Pakistan", Job,2 Years Job Exp.,Looking for a Creative Designer for an inhouse job must be hands-on below toolsAdobe PhotoshopAdobe Illustrator,Lahore,11-Dec-22,True,Computer Software Job,0
 Sales Executive Job ,,"Lamp Technologies, Pakistan", Job,8 Years Job Exp.,"Job Title: Sales Executive (Diamond Resellers)Job Purpose: Lamp Technologies is looking for personnel in Sales Executive(s) role for conducting outbound reach for our product sales, conversions and building customer relations.You will be considered a",Lahore,11-Dec-22,True,IT Job,1
 Business Developer Job ,Gallery Job,"Lamp Technologies, Pakistan", Job,8 Years Job Exp.,Job Title: Business Development OfficerJob Purpose: Lamp Technologies is looking for an enthusiastic Business Development Officer to contribute in closing leads and generating sales for the company. The right candidate must be comfortable presenting,Lahore,11-Dec-22,True,IT Job,1
 Flutter Developer Job ,,"Assort Tech, Pakistan", Job,< 1 Year,We are looking for a Flutter Developer who wants to work with an innovative team.,Lahore,11-Dec-22,True,Web & E-commerce Job,1
 Expert PHP / Laravel Developer Job ,,"Reaver Technologies, Pakistan", Job,3 Years Job Exp.,"We have another long term /  job opening for an expert level programmer with excellent communication skills and good experience working with PHP/MVC Frameworks (specially Laravel).
Following are the must have job requirments:",Karachi,10-Dec-22,True,IT Job,0
 Senior Unity Game Developer  Job ,,"Team Tech Studio, Pakistan", Job,2 Years Job Exp.,"Creating accessories, characters, and other interactive assets for our mobile appsOriginal thinking, must be able to come up with fresh ideas rather than copying from other sources.Digital painting, 2D / 3D character and environmental designing. (Mus",Lahore,10-Dec-22,True,IT Job,1
 Ecommerce Sales & FALSE ,,"MICRON, Pakistan", Job,3 Years Job Exp.,The Ecommerce Sales Manager is responsible for driving growth and development for the channel by strategically building relationships with Aurkamao and other online marketing venues. This role effectively develops and cross-functionally executes comp,Karachi,10-Dec-22,False,Sales Job,0
 Storyboard Artist Job ,,"SoftNation Technologies, Pakistan", Job,1 Year Job Exp.,Soft Nation technologies is looking for Storyboard Artist to join our development team. The storyboard artist will design and create 2D illustrations for characters and environments. They will help develop the look feel and overall visual identity of,Karachi,10-Dec-22,False,Production Job,0
 International Sales Executive Job ,,"SoftNation Technologies, Pakistan", Job,< 1 Year,Softnation technologies is looking for an active and goal-oriented candidate for the job position of &ldquo;International Sales Executive&rdquo;. Candidate must be fluent and have excellent communication skills and should be smart enough to tackle an,Karachi,10-Dec-22,True,IT Job,1
 Business Development Executive  Job ,,"Nobox Idea, Pakistan", Job,< 1 Year,"Search and generate leads through direct approach i.e. LinkedIn, Email, Call etc.Daily follow-ups and discussions with clients.To generate and identify quality leads on different online channels i.e. social media, online portals etc. that result in s",Lahore,10-Dec-22,False,Marketing Job,1
 SEO Expert Job ,,"Nobox Idea, Pakistan", Job,< 1 Year,We are looking for an experienced SEO Executive in Lahore who is comfortable with handling SEO projects individually and must have minimum 1 year of experience in SEO field. This role involves a blend of both on-site and off-site SEO. Must be familia,Lahore,10-Dec-22,False,Marketing Job,0
 PHP Manager  Job ,,"Suave Solutions Pvt Ltd., Pakistan", Job,1 Year Job Exp.,"Minimum 1-2 Years experience in PHP programming, MySQL, CSS, and JavaScriptKnowledge of OOPSolid knowledge of relational databases, database design, and queryingMust be aware of the latest tools &amp; techniques like HTML, CSS, JQuery, JavaScriptKnow",Lahore,10-Dec-22,True,IT Job,1
 Field Operations Staff Job ,,"Mywater, Pakistan", Job,< 1 Year,"A field service technician is responsible for helping clients install, repair, and maintain equipment.They are responsible for showing customers how to use their equipment. A few of the main duties of a field service technician are troubleshooting th",Lahore,10-Dec-22,True,Engineering Job,1
Online  Full Stack / Web Developer Job ,,"Greenland Human Resouce Consultancy, Pakistan", Job,3 Years Job Exp.,"Full Stack Developers will be required to see out a project from conception to final product, requiring good organizational skills and attention to detail.Build efficient, testable, and reusable PHP modulesSolve complex performance problems and archi",Lahore,10-Dec-22,False,Marketing Job,1
 Backend Developer - Dot NET Core Job ,Premium Job,"Software Alliance, Pakistan", Job,4 Years Job Exp.,Job Responsibilities:- Develop new functionality and maintain existing solutions with a keen sense for making things fast and efficient.- Participate directly in the complete software development lifecycle and perform all aspects of development from,Lahore,10-Dec-22,True,Computer Software Job,1
 Graphic Designer Job ,Gallery Job,"Odacious, Pakistan", Job,1 Year Job Exp.,"Odacious is looking for three graphic designers to join its office based in Gulberg, Lahore. The ideal candidate will have a very strong aesthetic sense and a strong command over Photoshop and Premier Pro.Responsibilities:Creating visually appealing",Lahore,10-Dec-22,False,Support Services Job,0
 Assistant Project Manager Job ,,"Expert Solution, Pakistan", Job,1 Year Job Exp.,We are looking for Assistant Project Manager to assist Project Manager in Project related tasks.,Lahore,10-Dec-22,True,IT Job,1
Online  Digital Marketing And Team Manager - Remote Job ,Hot Job,"My Own Business, Pakistan", Job,3 Years Job Exp.,"We are a printing and graphics company in USA, we are looking for a Digital Marketing team lead / manager who can maintain and manages our websites. This job requires remote work from home, third shift and Mon thru Saturday.Your job responsibilities",Faisalabad,9-Dec-22,True,Web & E-commerce Job,1
 Sales Executive Job ,Gallery Job,"Agile Falcon Strategic Group, Pakistan", Job,< 1 Year,"&bull; Making irresistible sales pitch to prospective clients
&bull; Identifying decision-makers within targeted leads to begin the sales process
&bull; Penetrating all targeted accounts and radiating sales from within client base
&bull; Meet project",Lahore,9-Dec-22,False,Sales Job,1
 DAE Civil Job ,,"ATG Plant Automation, Pakistan", Job,3 Years Job Exp.,"1. Raw Material Management.
2. Supervision Of Consumption Of Raw Material.
3. Monitoring Production Efficiency.
4. QAQC Of The Final Prodcuts.
5. Liaison With Sales Team To Meetup The Production Efficiney According To Current Orders. 6. Manage The Su",Lahore,9-Dec-22,False,Production Job,1
 Front Desk Officer Job ,,"Digi Arch, Pakistan", Job,1 Year Job Exp.,We are looking for a pleasant Front Desk Representative to undertake all receptionist and clerical duties.The ideal candidate will have a friendly and easy going personality while also being very perceptive and disciplined.Responsibilities:Answer que,Karachi,9-Dec-22,False,Architect Job,0
 Call Center Agent International Campaign  Job ,,"Call Central 360, Pakistan", Job,< 1 Year,Call Central 360 is hiring customer service representatives on an urgent basis for an inbound USA call campaign (NO SALES)- Experienced and Fresher call center representative will be considered for this position.- Gulshan-e- Iqbal and nearby area cal,Karachi,9-Dec-22,False,Support Services Job,1
 Online Marketing And Office FALSE ,,"Reliance International, Pakistan", Job,Job for Students,"The ability and desire to sell.Excellent communication skills.A positive, confident and determined approach.Resilience and the ability to cope with rejection.",Islamabad,9-Dec-22,True,Web & E-commerce Job,0
 Social Media Manager Female  Job ,,"Reliance International, Pakistan", Job,Job for Fresh Graduates,We need Fresh graduates for our Islamabad officeJOB Description:The candidates should have basic skills of Social Media marketing.Video EditingGraphic DesigningAdobe Photoshop,Islamabad,9-Dec-22,True,Web & E-commerce Job,0
 Affiliate Marketing  Job ,,"Digital Cloud Hub, Pakistan", Job,< 1 Year,Apply online nowRequired:Should have some 1 year of experience in SEOGood know-how and experience in Affiliate Marketing,Karachi,9-Dec-22,False,Marketing Job,1
 Pashto Speaker Job ,Gallery Job,"ibex, Pakistan", Job,Job for Students,"Key Responsibilities:
Respond to customers professionally to provide information about products and services, take/cancel orders, or obtain details of complaints.
Keep records of customer interactions and transactions, recording details of inquiries,",Karachi,9-Dec-22,False,Customer Service Job,1
 Customer Representative Job ,,"Apollo Motors, Pakistan", Job,1 Year Job Exp.,Apollo motors is looking for a customer representative to join our team. The individual should have good communication skills and be able to resolve customer queries and provide solutionsGender: FemaleSend your CV now,Karachi,9-Dec-22,False,Customer Service Job,1
 Sales Representative Job ,,"Apollo Motors, Pakistan", Job,2 Years Job Exp.,"Apollo motors is looking for a sales person to join our team. The person should be self-motivated, energetic and knowledgeable about the automobile sector.Send your CV now",Karachi,9-Dec-22,False,Sales Job,1
 Senior ODOO Developer Job ,,"DigiTribe (Pvt) Ltd., Pakistan", Job,4 Years Job Exp.,We are looking for ODOO expert for the development of our new food industry platform. You will be working with experienced team and product lead.,Islamabad,8-Dec-22,True,IT Job,1
 Market Research Executive Job ,,"DigiTribe (Pvt) Ltd., Pakistan", Job,2 Years Job Exp.,"Market Research ExecutiveWe are looking for a motivated, sharp and focused Market Research Executive. The position is based in our Islamabad office.As a Market Research Executive, you will be expected to contribute to multi-faceted market research, d",Islamabad,8-Dec-22,True,IT Job,0
Online  Experienced Call Centre Agent (Home-Based) Job ,Hot Job,"Mumtaz Institute, Pakistan", Job,1 Year Job Exp.,Job Title: Student Support (Home-based)Job Responsibilities: Handle incoming calls and chats of an online Quran teaching institute and assist students in enrollment process (mostly mothers enrolling their children)Job Requirements: Must be Fluent Eng,Karachi,8-Dec-22,False,Customer Service Job,1
 Internship Job ,,"Largest Financial Institution, Pakistan", Job,Job for Fresh Graduates,"The largest financial institution of Pakistan required candidates for internship position.After completion of internship period every candidates have to clear test that leads to permenat job starting salary Rs. 45000/ with bonus, medical and life ins",Karachi,8-Dec-22,False,Finance Job,0
 Product Photoshoot (Ecommerce Photographer) For Ecommerce Website Job ,,"Jlp Group, Pakistan", Job,1 Year Job Exp.,"We need creative photographers to create content for our eCommerce Clothing Website in Lahore.
We&#39;re looking for Photographer who can produce product photographs and crop them, within the deadlines.
will be expected to give us beautiful images we",Lahore,8-Dec-22,False,Marketing Job,0
 Sales Executive Job ,,"ATG Plant Automation, Pakistan", Job,1 Year Job Exp.,1. Office Based Sales &amp; Marketing Planning and Execution.2. Sale Order Management With Production Team.3. Construction Site Visitation and Order Collection.,Lahore,8-Dec-22,False,Production Job,0
 Field Technician Job ,,"Confidential, Pakistan", Job,1 Year Job Exp.,"A field technician is responsible for helping clients install, repair, and maintain equipment. They are responsible for showing customers how to use their equipment. A few of the main duties of a field service technician are troubleshooting the equip",Islamabad,8-Dec-22,True,Electronics Job,1
 Restaurant Shift Manager - G 13 Islamabad Job ,,"Dominos Pizza Pakistan, Pakistan", Job,3 Years Job Exp.,Shift Manager with Domino&rsquo;s Pizza you will be trained to manage a Domino&rsquo;s Pizza store.The manager of the store where you work will train you in the daily aspect of running a store efficiently &amp; profitably. Domino&rsquo;s pizza will p,Islamabad,8-Dec-22,False,Restaurant Job,0
 Photo Editor Job ,,"Benchmark, Pakistan", Job,< 1 Year,"Benchmark is an architectural firm looking for potential graphic designer/ photo editor.Job duties and responsibilitiesCoordinate with the team to identify photography needs
Review photos, edit and make necessary changes
Must be team oriented and pro",Lahore,8-Dec-22,False,Architect Job,0
Online  Customer Service Executive Job ,Gallery Job,"Tecbz, Pakistan", Job,< 1 Year,Answer incoming chats from new &amp; existing customers.Guide customers for the product &amp; answer their queries.Coordinate with other team members and departments for timely delivery of the order.Resolve complaints and provide information efficien,Karachi,8-Dec-22,False,Support Services Job,0
 Sales And Marketing Intern Job ,Gallery Job,"ODR Foods (Pvt.) Ltd., Pakistan", Job,Job for Fresh Graduates,ODR Foods Pvt. Limited is looking for enthusiastic and capable person as Sales and Marketing Intern for its Lahore Plant.,Lahore,8-Dec-22,False,Sales Job,0
 Call Center Agent Job ,,"KIA Motors Defence, Pakistan", Job,1 Year Job Exp.,Receive Inbound and outbound inquiries on calls and through social media and distribute to sales team. Followup inquiries for contact and quality confirmation.,Lahore,8-Dec-22,False,Autos Job,1
 PHP Laravel Developers - Urgent Job ,Gallery Job,"Pakeela, Pakistan", Job,3 Years Job Exp.,"PHP Laravel DevelopersHard working Individualscan work with teamGood Communications skillsif you can join immediately that would be a big plus
its an office based job and office location is in Gulberg",Lahore,7-Dec-22,True,Computer Software Job,0
 Senior Software Engineer Job ,,"2B Vision Technologies, Pakistan", Job,2 Years Job Exp.,"We are seeking a .NET developer responsible for building web applications.Primary responsibilities will be to design, develop and support highly scalable applications and web services using Microsoft technologies (ASP.NET , C#, MVC, SQL Server). Requ",Lahore,7-Dec-22,True,IT Job,1
 Software Quality Assurance Job ,,"2B Vision Technologies, Pakistan", Job,< 1 Year,"Good experience of Black box Testing, Grey Box, Stress, Performance and Security testing Strong Understanding of SDLC and STLC Good expertise in Databases year Automation testing experience is required Can develop manual and automation test cases and",Lahore,7-Dec-22,True,IT Job,1
 Telesales Representative Job ,,"Wise Marketing, Pakistan", Job,Job for Fresh Graduates,We are looking for an enthusiastic Telesales Representative to contribute in generating sales for our company. You will be responsible for closing sales deals over the phone and maintaining good customer relationships.Requirements Candidate must have,Lahore,7-Dec-22,False,Customer Service Job,0
 Data Entry Operator Job ,,"Solution Inn, Pakistan", Job,< 1 Year,"Perform required formatting operations using computer skills on data repository files.Identify duplicity of entered content and take appropriate action.Verify the content by reviewing, correcting, deleting, or reentering data.Contribute to team effor",Lahore,7-Dec-22,False,IT Job,0
 Azure Cloud Engineer Job ,,"Rainsoft Financails, Pakistan", Job,4 Years Job Exp.,"Rainsoft Financials Pvt Ltd is looking for an experienced and enthusiastic Azure Cloud Engineer to collaborate with our software engineers, QA Analysts, and other IT team members to manage our infrastructure. He/she will implement and enhance the aut",Karachi,7-Dec-22,True,Computer Software Job,1
